x,y,yaw
0.152,-0.002,-0.0057
0.114,0.007,-0.0311
0.959,-0.019,0.0089
0.813,-9.086,0.8886
2.757,-9.277,0.6688
5.484,-8.932,1.5896
5.467,-1.135,-0.0097
4.199,-1.054,0.0088
4.447,1.397,-0.768
6.275,1.401,-0.6127
9.036,1.238,-0.5901
9.454,-7.939,1.5672
