x,y,yaw
0.005,-0.081,1.5701
2.888,0.769,-0.032
9.434,0.715,-0.032
9.64,8.418,-0.032
8.49,8.276,-0.032
8.486,3.582,-0.032
7.272,3.706,-0.032
7.055,2.761,-0.032
6.058,2.668,-0.032
