x,y,yaw
0.152,-0.002,-0.0057
0.074,-0.035,-0.0204
2.083,-0.079,-0.0308
2.051,-7.885,0.0058
0.565,-7.937,-0.0065
0.617,-9.226,-0.0301
1.708,-9.323,-0.0145
5.053,-9.189,0.002
6.192,-9.113,-0.0612
6.37,-0.911,-0.0139
4.339,-1.015,0.0093
4.359,1.265,-0.0048
6.167,1.17,-0.0181
9.218,1.031,-0.0122
9.278,-3.876,0.0169
