x,y,yaw
0.152,-0.002,-0.0057
0.034,0.059,0.0056
1.915,0.14,0.0049
1.968,-6.84,-0.018
0.286,-6.917,-0.0304
0.574,-9.387,-0.0051
4.465,-9.366,-0.0155
4.396,1.161,-0.0046
4.435,1.243,0.011
8.37,1.253,0.0456
8.752,1.254,0.0029
9.096,-8.244,0.0957
