x,y,yaw
9.228,-3.902,-0.0166
9.191,1.279,0.0029
7.505,1.471,-0.0341
4.457,1.364,0.0023
4.617,-3.443,0.0026
6.403,-3.934,0.0178
6.388,-7.8,0.0496
6.44,-9.137,-0.0226
4.954,-9.214,-0.0065
2.525,-9.196,-0.051
0.493,-9.202,-0.0216
0.992,-0.007,0.0024
0.05,0.064,-0.0217
